,SMILES,count_tr_val_te
CBH_1,[H]C([H])=C([H])C([H])([H])[H],1814
CBH_2,[H]OC([H])([H])C([H])([H])[H],286
CBH_3,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],54
CBH_4,[H]N([H])C(=O)C([H])([H])[H],186
CBH_5,[H]C([H])([H])SC([H])([H])[H],120
CBH_6,[H]C1([H])C([H])([H])C1([H])[H],39
CBH_7,[H]SC([H])(N([H])[H])C([H])([H])[H],15
CBH_8,[H]C([H])=C(C([H])([H])[H])S([H])(=O)=O,110
CBH_9,[H]ON([H])C([H])([H])[H],13
CBH_10,[H]OC([H])(C([H])([H])[H])C([H])([H])[H],264
CBH_11,[H]C([H])=C([Cl:0])C([H])([H])[H],286
CBH_12,[H]C([H])=C(F)C([H])([H])[H],127
CBH_13,[H]N([H])C([H])([H])C([H])([H])[H],844
CBH_14,[H]C([H])([H])[N+](=O)[O-],193
CBH_15,[H]C(=O)C([H])([H])[H],10
CBH_16,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H],387
CBH_17,[H]N([H])N(C([H])([H])[H])C([H])([H])[H],30
CBH_18,[H]C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H],63
CBH_19,[H]C([H])([H])C([H])(C([H])([H])[H])[N+]([H])([H])[H],65
CBH_20,[H]C([H])([H])C#N,64
CBH_21,[H]N=C(N([H])[H])N([H])[H],73
CBH_22,[H]C([H])([H])C(=O)C([H])([H])[H],137
CBH_23,[H]C#CC([H])([H])[H],11
CBH_24,[H]SC([H])([H])C([H])([H])[H],79
CBH_25,[H]N=C(O[H])C([H])([H])[H],51
CBH_26,[H]N(C([H])([H])[H])S([H])(=O)=O,84
CBH_27,[H]N(C([H])([H])[H])C([H])([H])[H],525
CBH_28,[H]N=C(O[H])N([H])[H],31
CBH_29,[H]C([H])([H])C([H])([H])[Cl:0],20
CBH_30,[H]N=C(S[H])N([H])[H],18
CBH_31,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],15
CBH_32,[H]SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],21
CBH_33,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],122
CBH_34,[H]SC([H])=C([H])[H],21
CBH_35,[H]C([H])([H])C(F)(F)F,58
CBH_36,[H]C([H])=C(N([H])[H])C([H])([H])[H],723
CBH_37,[H]C([H])=C([O-])C([H])([H])[H],26
CBH_38,[H]C([H])([H])N(C([H])([H])[H])S([H])(=O)=O,13
CBH_39,[H]C([H])=C(I)C([H])([H])[H],23
CBH_40,[H]OC(=C([H])[H])C([H])([H])[H],661
CBH_41,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H],570
CBH_42,[H]N=C([O-])N([H])[H],14
CBH_43,[H]C([H])=C([H])N([H])[H],166
CBH_44,[H]C([H])=C(C([H])([H])[H])C([H])([H])[H],1379
CBH_45,[H]C([H])([H])[N+]([H])([H])C([H])([H])[H],24
CBH_46,[H]N=C(N([H])[H])C([H])([H])[H],92
CBH_47,[H]N=NC([H])([H])[H],23
CBH_48,[H]N=C(S[H])C([H])([H])[H],11
CBH_49,[H]SC([H])(C([H])([H])[H])C([H])([H])[H],14
CBH_50,[H]N=C([H])C([H])([H])[H],169
CBH_51,[H]N([H])C1([H])C([H])([H])C1([H])[H],27
CBH_52,[H]C([H])([H])S(=O)(=O)C([H])([H])[H],20
CBH_53,[H]SC(=C([H])[H])C([H])([H])[H],82
CBH_54,[H]N([H])OC([H])([H])[H],15
CBH_55,[H]ON=C([H])[H],14
CBH_56,[H]C([H])=C(N([H])[H])N([H])[H],70
CBH_57,[H]ON(C([H])([H])[H])C([H])([H])[H],11
CBH_58,[H]C([H])=C([N+](=O)[O-])C([H])([H])[H],189
CBH_59,[H]OC(=O)N([H])[H],14
CBH_60,[H]N=C(C([H])([H])[H])C([H])([H])[H],97
CBH_61,[H]C([H])=NN([H])[H],43
CBH_62,[H]N=C([H])N([H])[H],20
CBH_63,[H]N([H])N([H])C([H])([H])[H],11
CBH_64,[H]C([H])([H])C([H])([H])C([H])([H])[H],890
CBH_65,[H]N([H])S(=O)(=O)C([H])([H])[H],107
CBH_66,[H]OC(=O)C([H])([H])[H],518
CBH_67,[H]N([H])C([H])([H])[Si:0]([H])([H])[H],10
CBH_68,[H]C([H])([H])C(=O)[O-],85
CBH_69,[H]C([H])([H])OC([H])([H])[H],513
CBH_70,[H]C([H])=C(C([H])([H])[H])[N+]([H])([H])[H],14
CBH_71,[H]C([H])=NS([H])(=O)=O,15
CBH_72,[H]C([H])=NC([H])([H])[H],345
CBH_73,[H]OC(=C([H])[H])N([H])[H],28
CBH_74,[H]C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],11
CBH_75,[H]C([H])([H])[Si:0](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],11
CBH_76,[H]N([H])C(=O)N([H])[H],67
CBH_77,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],244
CBH_78,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],29
CBH_79,[H]C([H])([H])C([H])([H])[N+]([H])([H])[H],89
CBH_80,[H]C([H])=C(C#N)C([H])([H])[H],43
CBH_81,[H]C([H])=C([Br:0])C([H])([H])[H],81
