file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,conjugate_acid,conjugate_base,exp_pka (pKa)
1,0.04704,0.009685,-0.45299318,6.47,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,-9.37,38.8,CC(=O)c1ccc(cc1)[SH:10],CC(=O)c1ccc(cc1)[S-:10],5.33
2,0.06798,0.009987,-0.4656218,12.17,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0,0.1429,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,3.52,38.8,C([C@H]([C@H]([C@@H]([C@H](C[SH:12])O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](C[S-:12])O)O)O)O)O,9.35
3,0.08176,0.013507,-0.48480222,19.08,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-9.35,-2.83,C(C(F)F)[OH:3],C(C(F)F)[O-:3],13.11
4,0.07612,0.013042,-0.4892479,21.42,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-7.48,-2.83,C(CF)[OH:3],C(CF)[O-:3],14.2
5,0.07553,0.009684,-0.4664763,12.61,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,-17.92,38.8,CS(=O)(=O)CC[SH:6],CS(=O)(=O)CC[S-:6],7.9
6,0.03808,0.012674,-0.46778888,11.42,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.3333,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-4.95,-2.83,Cc1cc(ccc1[OH:8])Cl,Cc1cc(ccc1[O-:8])Cl,9.71
7,0.04722,0.009804,-0.45505464,7.08,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0.3333,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,-12.49,38.8,c1cc(cc(c1)Cl)[SH:7],c1cc(cc(c1)Cl)[S-:7],5.78
8,0.04274,0.009593,-0.4580959,9.15,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1.34,-12.96,38.8,COc1cccc(c1)[SH:9],COc1cccc(c1)[S-:9],6.39
9,0.04532,0.009518,-0.4591933,10.48,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,-12.62,38.8,Cc1cccc(c1)[SH:8],Cc1cccc(c1)[S-:8],6.66
10,0.04514,0.00958,-0.4561608,8,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.34,-19.43,38.8,c1cc(ccc1[SH:7])Br,c1cc(ccc1[S-:7])Br,6.02
11,0.03849,0.012718,-0.47159767,13.24,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,-11.01,-2.83,CCCc1ccc(cc1)[OH:10],CCCc1ccc(cc1)[O-:10],10.34
