file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,conjugate_acid,conjugate_base,predicted_rf (pKa),exp_pKa (pKa)
7,0.02411,0.014219,-0.4706964,12.08,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.03,0.69,1.62,[NH3+][C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,10.59,10.58
10,0.00332,0.014652,-0.45616725,4.87,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0.1667,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-7.62,1.2,Cc1c([NH+](C)C)c(=O)n(-c2ccccc2)n1C,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,5.78,5.06
11,0.00676,0.014193,-0.46839166,11.02,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-1.79,1.62,C[C@H]([NH3+])Cc1ccccc1,C[C@H](N)Cc1ccccc1,9.91,9.94
12,0.0028,0.014328,-0.46902746,11.15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-1.07,1.62,C[C@H]([NH3+])Cc1ccc(O)cc1,C[C@H](N)Cc1ccc(O)cc1,9.92,9.7
13,-0.00061,0.014168,-0.46860635,11.11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,1.03,8.18,1.62,COc1cccc(C[C@H](C)[NH3+])c1,COc1cccc(C[C@H](C)N)c1,9.79,9.86
14,0.00211,0.014168,-0.46872312,10.98,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,1.03,-2.16,1.62,COc1ccc(C[C@H](C)[NH3+])cc1,COc1ccc(C[C@H](C)N)cc1,9.91,9.99
16,0.00258,0.013019,-0.44408032,0.04,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,0.1111,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,-32.63,-2.83,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCC3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCC3)C(=O)N2[C@H]1C(=O)[O-],2.70,2.62
19,0.0026,0.012928,-0.4440266,0.28,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,0,0.1111,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,4.04,-2.83,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)[O-],2.77,2.68
20,-0.00056,0.012319,-0.44398934,0.83,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,0.0833,0,0,0.2,0.2,0,0.2,0,0,0.1111,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0909,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.98,-25.22,-2.83,C[C@@H](Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,C[C@@H](Oc1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-],2.78,2.73
21,0.04063,0.014808,-0.46212748,7.62,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,6.81,1.2,C[N@H+]1CCC=C(C(=O)O)C1,CN1CCC=C(C(=O)O)C1,8.17,9.07
