,0
0,[H]N([H])S(=O)(=O)C([H])([H])[H]
1,[H]N([H])N(C([H])([H])[H])C([H])([H])[H]
2,[H]N=C([H])C([H])([H])[H]
3,[H]C([H])=NC([H])([H])[H]
4,[H]N([H])C([H])([H])C([H])([H])[H]
5,[H]C([H])=C([H])N([H])[H]
6,[H]N=C(N([H])[H])N([H])[H]
7,[H]C([H])=C(C([H])([H])[H])C([H])([H])[H]
8,[H]N=C([O-])N([H])[H]
9,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
10,[H]SC([H])=C([H])[H]
11,[H]N=C(O[H])N([H])[H]
12,[H]N=C(N([H])[H])C([H])([H])[H]
13,[H]C([H])([H])SC([H])([H])[H]
14,[H]N([H])N([H])C([H])([H])[H]
15,[H]OC(=O)N([H])[H]
16,[H]C([H])([H])[N+]([H])([H])C([H])([H])[H]
17,[H]SC([H])([H])C([H])([H])[H]
18,[H]SC([H])(C([H])([H])[H])C([H])([H])[H]
19,[H]C([H])([H])C(=O)[O-]
20,[H]C([H])([H])[Si:0](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
21,[H]C([H])=C(F)C([H])([H])[H]
22,[H]C([H])=C(C([H])([H])[H])[N+]([H])([H])[H]
23,[H]N(C([H])([H])[H])S([H])(=O)=O
24,[H]C([H])=C(C#N)C([H])([H])[H]
25,[H]C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H]
26,[H]OC(=O)C([H])([H])[H]
27,[H]C1([H])C([H])([H])C1([H])[H]
28,[H]N=C(O[H])C([H])([H])[H]
29,[H]C([H])=C(C([H])([H])[H])S([H])(=O)=O
30,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H]
31,[H]C([H])=C([N+](=O)[O-])C([H])([H])[H]
32,[H]OC(=C([H])[H])N([H])[H]
33,[H]N=C(S[H])N([H])[H]
34,[H]C([H])([H])C(=O)C([H])([H])[H]
35,[H]SC(=C([H])[H])C([H])([H])[H]
36,[H]C([H])([H])C([H])(C([H])([H])[H])[N+]([H])([H])[H]
37,[H]C([H])([H])C#N
38,[H]ON=C([H])[H]
39,[H]N([H])OC([H])([H])[H]
40,[H]C([H])([H])OC([H])([H])[H]
41,[H]C([H])=C(N([H])[H])N([H])[H]
42,[H]C([H])([H])[N+](=O)[O-]
43,[H]C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
44,[H]OC(=C([H])[H])C([H])([H])[H]
45,[H]C([H])([H])C([H])([H])C([H])([H])[H]
46,[H]C#CC([H])([H])[H]
47,[H]C([H])([H])C(F)(F)F
48,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
49,[H]C([H])=C([O-])C([H])([H])[H]
50,[H]C([H])=C(N([H])[H])C([H])([H])[H]
51,[H]N=C([H])N([H])[H]
52,[H]N([H])C([H])([H])[Si:0]([H])([H])[H]
53,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
54,[H]C([H])=NS([H])(=O)=O
55,[H]N=C(C([H])([H])[H])C([H])([H])[H]
56,[H]ON(C([H])([H])[H])C([H])([H])[H]
57,[H]N([H])C(=O)N([H])[H]
58,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
59,[H]C([H])([H])N(C([H])([H])[H])S([H])(=O)=O
60,[H]N=NC([H])([H])[H]
61,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
62,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
63,[H]C(=O)C([H])([H])[H]
64,[H]N([H])C(=O)C([H])([H])[H]
65,[H]SC([H])(N([H])[H])C([H])([H])[H]
66,[H]N=C(S[H])C([H])([H])[H]
67,[H]C([H])=C([Cl:0])C([H])([H])[H]
68,[H]C([H])([H])C([H])([H])[Cl:0]
69,[H]N(C([H])([H])[H])C([H])([H])[H]
70,[H]C([H])=C([Br:0])C([H])([H])[H]
71,[H]OC([H])(C([H])([H])[H])C([H])([H])[H]
72,[H]C([H])([H])C([H])([H])[N+]([H])([H])[H]
73,[H]C([H])=C(I)C([H])([H])[H]
74,[H]ON([H])C([H])([H])[H]
75,[H]C([H])=C([H])C([H])([H])[H]
76,[H]C([H])=NN([H])[H]
77,[H]SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
78,[H]C([H])([H])S(=O)(=O)C([H])([H])[H]
79,[H]N([H])C1([H])C([H])([H])C1([H])[H]
80,[H]OC([H])([H])C([H])([H])[H]
